log10_Gmu	f	spectrum
-14.000000	-10.000000	-18.282319
-14.000000	 -9.950000	-18.208212
-14.000000	 -9.900000	-18.134068
-14.000000	 -9.850000	-18.059881
-14.000000	 -9.800000	-17.985644
-14.000000	 -9.750000	-17.911349
-14.000000	 -9.700000	-17.836992
-14.000000	 -9.650000	-17.762564
-14.000000	 -9.600000	-17.688060
-14.000000	 -9.550000	-17.613473
-14.000000	 -9.500000	-17.538817
-14.000000	 -9.450000	-17.464169
-14.000000	 -9.400000	-17.389522
-14.000000	 -9.350000	-17.314875
-14.000000	 -9.300000	-17.240225
-14.000000	 -9.250000	-17.165568
-14.000000	 -9.200000	-17.090904
-14.000000	 -9.150000	-17.016241
-14.000000	 -9.100000	-16.941575
-14.000000	 -9.050000	-16.866899
-14.000000	 -9.000000	-16.792211
-14.000000	 -8.950000	-16.717508
-14.000000	 -8.900000	-16.642789
-14.000000	 -8.850000	-16.568050
-14.000000	 -8.800000	-16.493288
-14.000000	 -8.750000	-16.418499
-14.000000	 -8.700000	-16.343686
-14.000000	 -8.650000	-16.268841
-14.000000	 -8.600000	-16.193961
-14.000000	 -8.550000	-16.119043
-14.000000	 -8.500000	-16.044109
-14.000000	 -8.450000	-15.969213
-14.000000	 -8.400000	-15.894322
-14.000000	 -8.350000	-15.819434
-14.000000	 -8.300000	-15.744549
-14.000000	 -8.250000	-15.669666
-14.000000	 -8.200000	-15.594788
-14.000000	 -8.150000	-15.519922
-14.000000	 -8.100000	-15.445063
-14.000000	 -8.050000	-15.370212
-14.000000	 -8.000000	-15.295369
-14.000000	 -7.950000	-15.220537
-14.000000	 -7.900000	-15.145714
-14.000000	 -7.850000	-15.070902
-14.000000	 -7.800000	-14.996101
-14.000000	 -7.750000	-14.921313
-14.000000	 -7.700000	-14.846537
-14.000000	 -7.650000	-14.771777
-14.000000	 -7.600000	-14.697033
-14.000000	 -7.550000	-14.622307
-14.000000	 -7.500000	-14.547603
-14.000000	 -7.450000	-14.472932
-14.000000	 -7.400000	-14.398299
-14.000000	 -7.350000	-14.323709
-14.000000	 -7.300000	-14.249166
-14.000000	 -7.250000	-14.174676
-14.000000	 -7.200000	-14.100244
-14.000000	 -7.150000	-14.025878
-14.000000	 -7.100000	-13.951585
-14.000000	 -7.050000	-13.877373
-14.000000	 -7.000000	-13.803252
-13.900000	-10.000000	-18.082321
-13.900000	 -9.950000	-18.008214
-13.900000	 -9.900000	-17.934070
-13.900000	 -9.850000	-17.859884
-13.900000	 -9.800000	-17.785647
-13.900000	 -9.750000	-17.711352
-13.900000	 -9.700000	-17.636996
-13.900000	 -9.650000	-17.562569
-13.900000	 -9.600000	-17.488065
-13.900000	 -9.550000	-17.413479
-13.900000	 -9.500000	-17.338824
-13.900000	 -9.450000	-17.264176
-13.900000	 -9.400000	-17.189530
-13.900000	 -9.350000	-17.114884
-13.900000	 -9.300000	-17.040235
-13.900000	 -9.250000	-16.965579
-13.900000	 -9.200000	-16.890916
-13.900000	 -9.150000	-16.816255
-13.900000	 -9.100000	-16.741591
-13.900000	 -9.050000	-16.666917
-13.900000	 -9.000000	-16.592231
-13.900000	 -8.950000	-16.517530
-13.900000	 -8.900000	-16.442814
-13.900000	 -8.850000	-16.368078
-13.900000	 -8.800000	-16.293320
-13.900000	 -8.750000	-16.218535
-13.900000	 -8.700000	-16.143726
-13.900000	 -8.650000	-16.068885
-13.900000	 -8.600000	-15.994010
-13.900000	 -8.550000	-15.919099
-13.900000	 -8.500000	-15.844172
-13.900000	 -8.450000	-15.769284
-13.900000	 -8.400000	-15.694401
-13.900000	 -8.350000	-15.619523
-13.900000	 -8.300000	-15.544649
-13.900000	 -8.250000	-15.469778
-13.900000	 -8.200000	-15.394913
-13.900000	 -8.150000	-15.320062
-13.900000	 -8.100000	-15.245221
-13.900000	 -8.050000	-15.170389
-13.900000	 -8.000000	-15.095568
-13.900000	 -7.950000	-15.020760
-13.900000	 -7.900000	-14.945964
-13.900000	 -7.850000	-14.871182
-13.900000	 -7.800000	-14.796416
-13.900000	 -7.750000	-14.721665
-13.900000	 -7.700000	-14.646933
-13.900000	 -7.650000	-14.572220
-13.900000	 -7.600000	-14.497530
-13.900000	 -7.550000	-14.422865
-13.900000	 -7.500000	-14.348229
-13.900000	 -7.450000	-14.273633
-13.900000	 -7.400000	-14.199086
-13.900000	 -7.350000	-14.124591
-13.900000	 -7.300000	-14.050155
-13.900000	 -7.250000	-13.975785
-13.900000	 -7.200000	-13.901487
-13.900000	 -7.150000	-13.827271
-13.900000	 -7.100000	-13.753147
-13.900000	 -7.050000	-13.679123
-13.900000	 -7.000000	-13.605212
-13.800000	-10.000000	-17.882324
-13.800000	 -9.950000	-17.808217
-13.800000	 -9.900000	-17.734073
-13.800000	 -9.850000	-17.659887
-13.800000	 -9.800000	-17.585651
-13.800000	 -9.750000	-17.511357
-13.800000	 -9.700000	-17.437001
-13.800000	 -9.650000	-17.362574
-13.800000	 -9.600000	-17.288071
-13.800000	 -9.550000	-17.213486
-13.800000	 -9.500000	-17.138832
-13.800000	 -9.450000	-17.064185
-13.800000	 -9.400000	-16.989540
-13.800000	 -9.350000	-16.914896
-13.800000	 -9.300000	-16.840247
-13.800000	 -9.250000	-16.765593
-13.800000	 -9.200000	-16.690932
-13.800000	 -9.150000	-16.616273
-13.800000	 -9.100000	-16.541611
-13.800000	 -9.050000	-16.466939
-13.800000	 -9.000000	-16.392256
-13.800000	 -8.950000	-16.317558
-13.800000	 -8.900000	-16.242845
-13.800000	 -8.850000	-16.168114
-13.800000	 -8.800000	-16.093360
-13.800000	 -8.750000	-16.018579
-13.800000	 -8.700000	-15.943776
-13.800000	 -8.650000	-15.868941
-13.800000	 -8.600000	-15.794073
-13.800000	 -8.550000	-15.719169
-13.800000	 -8.500000	-15.644251
-13.800000	 -8.450000	-15.569372
-13.800000	 -8.400000	-15.494501
-13.800000	 -8.350000	-15.419635
-13.800000	 -8.300000	-15.344774
-13.800000	 -8.250000	-15.269918
-13.800000	 -8.200000	-15.195071
-13.800000	 -8.150000	-15.120239
-13.800000	 -8.100000	-15.045419
-13.800000	 -8.050000	-14.970611
-13.800000	 -8.000000	-14.895818
-13.800000	 -7.950000	-14.821040
-13.800000	 -7.900000	-14.746278
-13.800000	 -7.850000	-14.671535
-13.800000	 -7.800000	-14.596811
-13.800000	 -7.750000	-14.522109
-13.800000	 -7.700000	-14.447430
-13.800000	 -7.650000	-14.372778
-13.800000	 -7.600000	-14.298156
-13.800000	 -7.550000	-14.223567
-13.800000	 -7.500000	-14.149016
-13.800000	 -7.450000	-14.074516
-13.800000	 -7.400000	-14.000075
-13.800000	 -7.350000	-13.925700
-13.800000	 -7.300000	-13.851398
-13.800000	 -7.250000	-13.777178
-13.800000	 -7.200000	-13.703049
-13.800000	 -7.150000	-13.629021
-13.800000	 -7.100000	-13.555107
-13.800000	 -7.050000	-13.481320
-13.800000	 -7.000000	-13.407672
-13.700000	-10.000000	-17.682327
-13.700000	 -9.950000	-17.608220
-13.700000	 -9.900000	-17.534077
-13.700000	 -9.850000	-17.459892
-13.700000	 -9.800000	-17.385656
-13.700000	 -9.750000	-17.311362
-13.700000	 -9.700000	-17.237007
-13.700000	 -9.650000	-17.162581
-13.700000	 -9.600000	-17.088079
-13.700000	 -9.550000	-17.013495
-13.700000	 -9.500000	-16.938842
-13.700000	 -9.450000	-16.864196
-13.700000	 -9.400000	-16.789553
-13.700000	 -9.350000	-16.714910
-13.700000	 -9.300000	-16.640263
-13.700000	 -9.250000	-16.565611
-13.700000	 -9.200000	-16.490952
-13.700000	 -9.150000	-16.416295
-13.700000	 -9.100000	-16.341636
-13.700000	 -9.050000	-16.266967
-13.700000	 -9.000000	-16.192287
-13.700000	 -8.950000	-16.117594
-13.700000	 -8.900000	-16.042885
-13.700000	 -8.850000	-15.968158
-13.700000	 -8.800000	-15.893410
-13.700000	 -8.750000	-15.818635
-13.700000	 -8.700000	-15.743838
-13.700000	 -8.650000	-15.669012
-13.700000	 -8.600000	-15.594152
-13.700000	 -8.550000	-15.519258
-13.700000	 -8.500000	-15.444351
-13.700000	 -8.450000	-15.369484
-13.700000	 -8.400000	-15.294626
-13.700000	 -8.350000	-15.219775
-13.700000	 -8.300000	-15.144932
-13.700000	 -8.250000	-15.070096
-13.700000	 -8.200000	-14.995270
-13.700000	 -8.150000	-14.920462
-13.700000	 -8.100000	-14.845669
-13.700000	 -8.050000	-14.770892
-13.700000	 -8.000000	-14.696132
-13.700000	 -7.950000	-14.621393
-13.700000	 -7.900000	-14.546674
-13.700000	 -7.850000	-14.471979
-13.700000	 -7.800000	-14.397309
-13.700000	 -7.750000	-14.322667
-13.700000	 -7.700000	-14.248056
-13.700000	 -7.650000	-14.173480
-13.700000	 -7.600000	-14.098943
-13.700000	 -7.550000	-14.024449
-13.700000	 -7.500000	-13.950005
-13.700000	 -7.450000	-13.875625
-13.700000	 -7.400000	-13.801318
-13.700000	 -7.350000	-13.727094
-13.700000	 -7.300000	-13.652960
-13.700000	 -7.250000	-13.578928
-13.700000	 -7.200000	-13.505009
-13.700000	 -7.150000	-13.431217
-13.700000	 -7.100000	-13.357567
-13.700000	 -7.050000	-13.284074
-13.700000	 -7.000000	-13.210756
-13.600000	-10.000000	-17.482331
-13.600000	 -9.950000	-17.408225
-13.600000	 -9.900000	-17.334082
-13.600000	 -9.850000	-17.259897
-13.600000	 -9.800000	-17.185662
-13.600000	 -9.750000	-17.111369
-13.600000	 -9.700000	-17.037015
-13.600000	 -9.650000	-16.962590
-13.600000	 -9.600000	-16.888089
-13.600000	 -9.550000	-16.813506
-13.600000	 -9.500000	-16.738854
-13.600000	 -9.450000	-16.664210
-13.600000	 -9.400000	-16.589569
-13.600000	 -9.350000	-16.514927
-13.600000	 -9.300000	-16.440283
-13.600000	 -9.250000	-16.365633
-13.600000	 -9.200000	-16.290977
-13.600000	 -9.150000	-16.216323
-13.600000	 -9.100000	-16.141667
-13.600000	 -9.050000	-16.067002
-13.600000	 -9.000000	-15.992327
-13.600000	 -8.950000	-15.917638
-13.600000	 -8.900000	-15.842935
-13.600000	 -8.850000	-15.768214
-13.600000	 -8.800000	-15.693472
-13.600000	 -8.750000	-15.618706
-13.600000	 -8.700000	-15.543918
-13.600000	 -8.650000	-15.469101
-13.600000	 -8.600000	-15.394252
-13.600000	 -8.550000	-15.319370
-13.600000	 -8.500000	-15.244476
-13.600000	 -8.450000	-15.169625
-13.600000	 -8.400000	-15.094784
-13.600000	 -8.350000	-15.019952
-13.600000	 -8.300000	-14.945130
-13.600000	 -8.250000	-14.870318
-13.600000	 -8.200000	-14.795520
-13.600000	 -8.150000	-14.720742
-13.600000	 -8.100000	-14.645984
-13.600000	 -8.050000	-14.571244
-13.600000	 -8.000000	-14.496528
-13.600000	 -7.950000	-14.421836
-13.600000	 -7.900000	-14.347172
-13.600000	 -7.850000	-14.272537
-13.600000	 -7.800000	-14.197934
-13.600000	 -7.750000	-14.123369
-13.600000	 -7.700000	-14.048843
-13.600000	 -7.650000	-13.974362
-13.600000	 -7.600000	-13.899932
-13.600000	 -7.550000	-13.825558
-13.600000	 -7.500000	-13.751248
-13.600000	 -7.450000	-13.677018
-13.600000	 -7.400000	-13.602880
-13.600000	 -7.350000	-13.528844
-13.600000	 -7.300000	-13.454921
-13.600000	 -7.250000	-13.381125
-13.600000	 -7.200000	-13.307469
-13.600000	 -7.150000	-13.233972
-13.600000	 -7.100000	-13.160651
-13.600000	 -7.050000	-13.087525
-13.600000	 -7.000000	-13.014617
-13.500000	-10.000000	-17.282336
-13.500000	 -9.950000	-17.208231
-13.500000	 -9.900000	-17.134089
-13.500000	 -9.850000	-17.059905
-13.500000	 -9.800000	-16.985670
-13.500000	 -9.750000	-16.911378
-13.500000	 -9.700000	-16.837025
-13.500000	 -9.650000	-16.762602
-13.500000	 -9.600000	-16.688102
-13.500000	 -9.550000	-16.613520
-13.500000	 -9.500000	-16.538870
-13.500000	 -9.450000	-16.464228
-13.500000	 -9.400000	-16.389589
-13.500000	 -9.350000	-16.314950
-13.500000	 -9.300000	-16.240308
-13.500000	 -9.250000	-16.165661
-13.500000	 -9.200000	-16.091009
-13.500000	 -9.150000	-16.016358
-13.500000	 -9.100000	-15.941707
-13.500000	 -9.050000	-15.867047
-13.500000	 -9.000000	-15.792377
