log10_mu	log10_k	f	spectrum
-14.000000	  7.000000	-10.000000	-71.312472
-14.000000	  7.000000	 -9.950000	-71.362472
-14.000000	  7.000000	 -9.900000	-71.404431
-14.000000	  7.000000	 -9.850000	-68.319196
-14.000000	  7.000000	 -9.800000	-64.023863
-14.000000	  7.000000	 -9.750000	-60.196495
-14.000000	  7.000000	 -9.700000	-56.786206
-14.000000	  7.000000	 -9.650000	-53.747397
-14.000000	  7.000000	 -9.600000	-51.039462
-14.000000	  7.000000	 -9.550000	-48.626235
-14.000000	  7.000000	 -9.500000	-46.475506
-14.000000	  7.000000	 -9.450000	-44.558582
-14.000000	  7.000000	 -9.400000	-42.849906
-14.000000	  7.000000	 -9.350000	-41.326705
-14.000000	  7.000000	 -9.300000	-39.968690
-14.000000	  7.000000	 -9.250000	-38.757780
-14.000000	  7.000000	 -9.200000	-37.677858
-14.000000	  7.000000	 -9.150000	-36.714558
-14.000000	  7.000000	 -9.100000	-35.855071
-14.000000	  7.000000	 -9.050000	-35.087971
-14.000000	  7.000000	 -9.000000	-34.403067
-14.000000	  7.000000	 -8.950000	-33.791265
-14.000000	  7.000000	 -8.900000	-33.244445
-14.000000	  7.000000	 -8.850000	-32.755350
-14.000000	  7.000000	 -8.800000	-32.317493
-14.000000	  7.000000	 -8.750000	-31.925062
-14.000000	  7.000000	 -8.700000	-31.572844
-14.000000	  7.000000	 -8.650000	-31.256151
-14.000000	  7.000000	 -8.600000	-30.970769
-14.000000	  7.000000	 -8.550000	-30.712901
-14.000000	  7.000000	 -8.500000	-30.479136
-14.000000	  7.000000	 -8.450000	-30.266411
-14.000000	  7.000000	 -8.400000	-30.071992
-14.000000	  7.000000	 -8.350000	-29.893450
-14.000000	  7.000000	 -8.300000	-29.728634
-14.000000	  7.000000	 -8.250000	-29.575656
-14.000000	  7.000000	 -8.200000	-29.432861
-14.000000	  7.000000	 -8.150000	-29.298811
-14.000000	  7.000000	 -8.100000	-29.172257
-14.000000	  7.000000	 -8.050000	-29.052120
-14.000000	  7.000000	 -8.000000	-28.937470
-14.000000	  7.000000	 -7.950000	-28.827507
-14.000000	  7.000000	 -7.900000	-28.721543
-14.000000	  7.000000	 -7.850000	-28.618990
-14.000000	  7.000000	 -7.800000	-28.519343
-14.000000	  7.000000	 -7.750000	-28.422170
-14.000000	  7.000000	 -7.700000	-28.327102
-14.000000	  7.000000	 -7.650000	-28.233823
-14.000000	  7.000000	 -7.600000	-28.142065
-14.000000	  7.000000	 -7.550000	-28.051597
-14.000000	  7.000000	 -7.500000	-27.962224
-14.000000	  7.000000	 -7.450000	-27.873780
-14.000000	  7.000000	 -7.400000	-27.786122
-14.000000	  7.000000	 -7.350000	-27.699131
-14.000000	  7.000000	 -7.300000	-27.612703
-14.000000	  7.000000	 -7.250000	-27.526753
-14.000000	  7.000000	 -7.200000	-27.440209
-14.000000	  7.000000	 -7.150000	-27.351000
-14.000000	  7.000000	 -7.100000	-27.262350
-14.000000	  7.000000	 -7.050000	-27.173887
-14.000000	  7.000000	 -7.000000	-27.085370
-14.000000	  7.100000	-10.000000	-47.681970
-14.000000	  7.100000	 -9.950000	-45.631255
-14.000000	  7.100000	 -9.900000	-43.803417
-14.000000	  7.100000	 -9.850000	-42.174091
-14.000000	  7.100000	 -9.800000	-40.721568
-14.000000	  7.100000	 -9.750000	-39.426503
-14.000000	  7.100000	 -9.700000	-38.271655
-14.000000	  7.100000	 -9.650000	-37.241657
-14.000000	  7.100000	 -9.600000	-36.322810
-14.000000	  7.100000	 -9.550000	-35.502896
-14.000000	  7.100000	 -9.500000	-34.771019
-14.000000	  7.100000	 -9.450000	-34.117458
-14.000000	  7.100000	 -9.400000	-33.533534
-14.000000	  7.100000	 -9.350000	-33.011500
-14.000000	  7.100000	 -9.300000	-32.544429
-14.000000	  7.100000	 -9.250000	-32.126124
-14.000000	  7.100000	 -9.200000	-31.751029
-14.000000	  7.100000	 -9.150000	-31.414157
-14.000000	  7.100000	 -9.100000	-31.111025
-14.000000	  7.100000	 -9.050000	-30.837595
-14.000000	  7.100000	 -9.000000	-30.590234
-14.000000	  7.100000	 -8.950000	-30.365678
-14.000000	  7.100000	 -8.900000	-30.161004
-14.000000	  7.100000	 -8.850000	-29.973606
-14.000000	  7.100000	 -8.800000	-29.801170
-14.000000	  7.100000	 -8.750000	-29.641657
-14.000000	  7.100000	 -8.700000	-29.493276
-14.000000	  7.100000	 -8.650000	-29.354464
-14.000000	  7.100000	 -8.600000	-29.223863
-14.000000	  7.100000	 -8.550000	-29.100295
-14.000000	  7.100000	 -8.500000	-28.982742
-14.000000	  7.100000	 -8.450000	-28.870331
-14.000000	  7.100000	 -8.400000	-28.762307
-14.000000	  7.100000	 -8.350000	-28.658026
-14.000000	  7.100000	 -8.300000	-28.556932
-14.000000	  7.100000	 -8.250000	-28.458552
-14.000000	  7.100000	 -8.200000	-28.362480
-14.000000	  7.100000	 -8.150000	-28.268369
-14.000000	  7.100000	 -8.100000	-28.175924
-14.000000	  7.100000	 -8.050000	-28.084891
-14.000000	  7.100000	 -8.000000	-27.995056
-14.000000	  7.100000	 -7.950000	-27.906235
-14.000000	  7.100000	 -7.900000	-27.818272
-14.000000	  7.100000	 -7.850000	-27.731035
-14.000000	  7.100000	 -7.800000	-27.644410
-14.000000	  7.100000	 -7.750000	-27.558303
-14.000000	  7.100000	 -7.700000	-27.472632
-14.000000	  7.100000	 -7.650000	-27.384580
-14.000000	  7.100000	 -7.600000	-27.295490
-14.000000	  7.100000	 -7.550000	-27.206684
-14.000000	  7.100000	 -7.500000	-27.117882
-14.000000	  7.100000	 -7.450000	-27.029136
-14.000000	  7.100000	 -7.400000	-26.940180
-14.000000	  7.100000	 -7.350000	-26.850876
-14.000000	  7.100000	 -7.300000	-26.760353
-14.000000	  7.100000	 -7.250000	-26.669687
-14.000000	  7.100000	 -7.200000	-26.578526
-14.000000	  7.100000	 -7.150000	-26.486824
-14.000000	  7.100000	 -7.100000	-26.394937
-14.000000	  7.100000	 -7.050000	-26.303133
-14.000000	  7.100000	 -7.000000	-26.211651
-14.000000	  7.200000	-10.000000	-34.877502
-14.000000	  7.200000	 -9.950000	-34.213436
-14.000000	  7.200000	 -9.900000	-33.620174
-14.000000	  7.200000	 -9.850000	-33.089841
-14.000000	  7.200000	 -9.800000	-32.615403
-14.000000	  7.200000	 -9.750000	-32.190564
-14.000000	  7.200000	 -9.700000	-31.809683
-14.000000	  7.200000	 -9.650000	-31.467698
-14.000000	  7.200000	 -9.600000	-31.160055
-14.000000	  7.200000	 -9.550000	-30.882659
-14.000000	  7.200000	 -9.500000	-30.631821
-14.000000	  7.200000	 -9.450000	-30.404227
-14.000000	  7.200000	 -9.400000	-30.196908
-14.000000	  7.200000	 -9.350000	-30.007212
-14.000000	  7.200000	 -9.300000	-29.832787
-14.000000	  7.200000	 -9.250000	-29.671556
-14.000000	  7.200000	 -9.200000	-29.521695
-14.000000	  7.200000	 -9.150000	-29.381610
-14.000000	  7.200000	 -9.100000	-29.249913
-14.000000	  7.200000	 -9.050000	-29.125403
-14.000000	  7.200000	 -9.000000	-29.007042
-14.000000	  7.200000	 -8.950000	-28.893936
-14.000000	  7.200000	 -8.900000	-28.785314
-14.000000	  7.200000	 -8.850000	-28.680517
-14.000000	  7.200000	 -8.800000	-28.578978
-14.000000	  7.200000	 -8.750000	-28.480212
-14.000000	  7.200000	 -8.700000	-28.383805
-14.000000	  7.200000	 -8.650000	-28.289400
-14.000000	  7.200000	 -8.600000	-28.196696
-14.000000	  7.200000	 -8.550000	-28.105434
-14.000000	  7.200000	 -8.500000	-28.015394
-14.000000	  7.200000	 -8.450000	-27.926387
-14.000000	  7.200000	 -8.400000	-27.838253
-14.000000	  7.200000	 -8.350000	-27.750857
-14.000000	  7.200000	 -8.300000	-27.664083
-14.000000	  7.200000	 -8.250000	-27.577832
-14.000000	  7.200000	 -8.200000	-27.492023
-14.000000	  7.200000	 -8.150000	-27.405466
-14.000000	  7.200000	 -8.100000	-27.315824
-14.000000	  7.200000	 -8.050000	-27.226725
-14.000000	  7.200000	 -8.000000	-27.137765
-14.000000	  7.200000	 -7.950000	-27.048773
-14.000000	  7.200000	 -7.900000	-26.959597
-14.000000	  7.200000	 -7.850000	-26.870093
-14.000000	  7.200000	 -7.800000	-26.779544
-14.000000	  7.200000	 -7.750000	-26.688579
-14.000000	  7.200000	 -7.700000	-26.597143
-14.000000	  7.200000	 -7.650000	-26.505157
-14.000000	  7.200000	 -7.600000	-26.412775
-14.000000	  7.200000	 -7.550000	-26.321171
-14.000000	  7.200000	 -7.500000	-26.228872
-14.000000	  7.200000	 -7.450000	-26.137175
-14.000000	  7.200000	 -7.400000	-26.046312
-14.000000	  7.200000	 -7.350000	-25.956364
-14.000000	  7.200000	 -7.300000	-25.867171
-14.000000	  7.200000	 -7.250000	-25.778566
-14.000000	  7.200000	 -7.200000	-25.690048
-14.000000	  7.200000	 -7.150000	-25.601572
-14.000000	  7.200000	 -7.100000	-25.513118
-14.000000	  7.200000	 -7.050000	-25.424682
-14.000000	  7.200000	 -7.000000	-25.336231
-14.000000	  7.300000	-10.000000	-30.661699
-14.000000	  7.300000	 -9.950000	-30.430854
-14.000000	  7.300000	 -9.900000	-30.220687
-14.000000	  7.300000	 -9.850000	-30.028503
-14.000000	  7.300000	 -9.800000	-29.851906
-14.000000	  7.300000	 -9.750000	-29.688780
-14.000000	  7.300000	 -9.700000	-29.537264
-14.000000	  7.300000	 -9.650000	-29.395730
-14.000000	  7.300000	 -9.600000	-29.262763
-14.000000	  7.300000	 -9.550000	-29.137134
-14.000000	  7.300000	 -9.500000	-29.017782
-14.000000	  7.300000	 -9.450000	-28.903791
-14.000000	  7.300000	 -9.400000	-28.794376
-14.000000	  7.300000	 -9.350000	-28.688859
-14.000000	  7.300000	 -9.300000	-28.586661
-14.000000	  7.300000	 -9.250000	-28.487285
-14.000000	  7.300000	 -9.200000	-28.390307
-14.000000	  7.300000	 -9.150000	-28.295364
-14.000000	  7.300000	 -9.100000	-28.202144
-14.000000	  7.300000	 -9.050000	-28.110384
-14.000000	  7.300000	 -9.000000	-28.019857
-14.000000	  7.300000	 -8.950000	-27.930372
-14.000000	  7.300000	 -8.900000	-27.841764
-14.000000	  7.300000	 -8.850000	-27.753895
-14.000000	  7.300000	 -8.800000	-27.666647
-14.000000	  7.300000	 -8.750000	-27.579918
-14.000000	  7.300000	 -8.700000	-27.493626
-14.000000	  7.300000	 -8.650000	-27.407251
-14.000000	  7.300000	 -8.600000	-27.317282
-14.000000	  7.300000	 -8.550000	-27.227674
-14.000000	  7.300000	 -8.500000	-27.138231
-14.000000	  7.300000	 -8.450000	-27.048782
-14.000000	  7.300000	 -8.400000	-26.959174
-14.000000	  7.300000	 -8.350000	-26.869821
-14.000000	  7.300000	 -8.300000	-26.779068
-14.000000	  7.300000	 -8.250000	-26.687857
-14.000000	  7.300000	 -8.200000	-26.596140
-14.000000	  7.300000	 -8.150000	-26.503893
-14.000000	  7.300000	 -8.100000	-26.411146
-14.000000	  7.300000	 -8.050000	-26.319204
-14.000000	  7.300000	 -8.000000	-26.226459
-14.000000	  7.300000	 -7.950000	-26.134210
-14.000000	  7.300000	 -7.900000	-26.042744
-14.000000	  7.300000	 -7.850000	-25.952204
-14.000000	  7.300000	 -7.800000	-25.862616
-14.000000	  7.300000	 -7.750000	-25.773473
