log10_mu	log10_k	f	spectrum
-14.000000	  7.000000	-10.000000	-99.451450
-14.000000	  7.000000	 -9.950000	-99.451450
-14.000000	  7.000000	 -9.900000	-99.451450
-14.000000	  7.000000	 -9.850000	-99.451450
-14.000000	  7.000000	 -9.800000	-99.451450
-14.000000	  7.000000	 -9.750000	-99.451450
-14.000000	  7.000000	 -9.700000	-99.451450
-14.000000	  7.000000	 -9.650000	-99.451450
-14.000000	  7.000000	 -9.600000	-99.451450
-14.000000	  7.000000	 -9.550000	-99.451450
-14.000000	  7.000000	 -9.500000	-99.451450
-14.000000	  7.000000	 -9.450000	-99.451450
-14.000000	  7.000000	 -9.400000	-99.451450
-14.000000	  7.000000	 -9.350000	-99.451450
-14.000000	  7.000000	 -9.300000	-99.451450
-14.000000	  7.000000	 -9.250000	-99.451450
-14.000000	  7.000000	 -9.200000	-99.451450
-14.000000	  7.000000	 -9.150000	-99.451450
-14.000000	  7.000000	 -9.100000	-99.451450
-14.000000	  7.000000	 -9.050000	-99.451450
-14.000000	  7.000000	 -9.000000	-99.451450
-14.000000	  7.000000	 -8.950000	-99.451450
-14.000000	  7.000000	 -8.900000	-99.451450
-14.000000	  7.000000	 -8.850000	-99.451450
-14.000000	  7.000000	 -8.800000	-99.451450
-14.000000	  7.000000	 -8.750000	-99.451450
-14.000000	  7.000000	 -8.700000	-99.451450
-14.000000	  7.000000	 -8.650000	-99.451450
-14.000000	  7.000000	 -8.600000	-99.451450
-14.000000	  7.000000	 -8.550000	-99.451450
-14.000000	  7.000000	 -8.500000	-99.451450
-14.000000	  7.000000	 -8.450000	-99.451450
-14.000000	  7.000000	 -8.400000	-99.451450
-14.000000	  7.000000	 -8.350000	-99.451450
-14.000000	  7.000000	 -8.300000	-99.451450
-14.000000	  7.000000	 -8.250000	-99.451450
-14.000000	  7.000000	 -8.200000	-99.451450
-14.000000	  7.000000	 -8.150000	-99.451450
-14.000000	  7.000000	 -8.100000	-99.451450
-14.000000	  7.000000	 -8.050000	-99.451450
-14.000000	  7.000000	 -8.000000	-99.451450
-14.000000	  7.000000	 -7.950000	-99.451450
-14.000000	  7.000000	 -7.900000	-99.451450
-14.000000	  7.000000	 -7.850000	-99.451450
-14.000000	  7.000000	 -7.800000	-99.451450
-14.000000	  7.000000	 -7.750000	-99.451450
-14.000000	  7.000000	 -7.700000	-99.451450
-14.000000	  7.000000	 -7.650000	-99.451450
-14.000000	  7.000000	 -7.600000	-99.451450
-14.000000	  7.000000	 -7.550000	-99.451450
-14.000000	  7.000000	 -7.500000	-99.451450
-14.000000	  7.000000	 -7.450000	-99.451450
-14.000000	  7.000000	 -7.400000	-99.451450
-14.000000	  7.000000	 -7.350000	-99.451450
-14.000000	  7.000000	 -7.300000	-99.451450
-14.000000	  7.000000	 -7.250000	-99.451450
-14.000000	  7.000000	 -7.200000	-30.081312
-14.000000	  7.000000	 -7.150000	-29.298037
-14.000000	  7.000000	 -7.100000	-28.975329
-14.000000	  7.000000	 -7.050000	-28.740095
-14.000000	  7.000000	 -7.000000	-28.541509
-14.000000	  7.100000	-10.000000	-99.451450
-14.000000	  7.100000	 -9.950000	-99.451450
-14.000000	  7.100000	 -9.900000	-99.451450
-14.000000	  7.100000	 -9.850000	-99.451450
-14.000000	  7.100000	 -9.800000	-99.451450
-14.000000	  7.100000	 -9.750000	-99.451450
-14.000000	  7.100000	 -9.700000	-99.451450
-14.000000	  7.100000	 -9.650000	-99.451450
-14.000000	  7.100000	 -9.600000	-99.451450
-14.000000	  7.100000	 -9.550000	-99.451450
-14.000000	  7.100000	 -9.500000	-99.451450
-14.000000	  7.100000	 -9.450000	-99.451450
-14.000000	  7.100000	 -9.400000	-99.451450
-14.000000	  7.100000	 -9.350000	-99.451450
-14.000000	  7.100000	 -9.300000	-99.451450
-14.000000	  7.100000	 -9.250000	-99.451450
-14.000000	  7.100000	 -9.200000	-99.451450
-14.000000	  7.100000	 -9.150000	-99.451450
-14.000000	  7.100000	 -9.100000	-99.451450
-14.000000	  7.100000	 -9.050000	-99.451450
-14.000000	  7.100000	 -9.000000	-99.451450
-14.000000	  7.100000	 -8.950000	-99.451450
-14.000000	  7.100000	 -8.900000	-99.451450
-14.000000	  7.100000	 -8.850000	-99.451450
-14.000000	  7.100000	 -8.800000	-99.451450
-14.000000	  7.100000	 -8.750000	-99.451450
-14.000000	  7.100000	 -8.700000	-99.451450
-14.000000	  7.100000	 -8.650000	-99.451450
-14.000000	  7.100000	 -8.600000	-99.451450
-14.000000	  7.100000	 -8.550000	-99.451450
-14.000000	  7.100000	 -8.500000	-99.451450
-14.000000	  7.100000	 -8.450000	-99.451450
-14.000000	  7.100000	 -8.400000	-99.451450
-14.000000	  7.100000	 -8.350000	-99.451450
-14.000000	  7.100000	 -8.300000	-99.451450
-14.000000	  7.100000	 -8.250000	-99.451450
-14.000000	  7.100000	 -8.200000	-99.451450
-14.000000	  7.100000	 -8.150000	-99.451450
-14.000000	  7.100000	 -8.100000	-99.451450
-14.000000	  7.100000	 -8.050000	-99.451450
-14.000000	  7.100000	 -8.000000	-99.451450
-14.000000	  7.100000	 -7.950000	-99.451450
-14.000000	  7.100000	 -7.900000	-99.451450
-14.000000	  7.100000	 -7.850000	-99.451450
-14.000000	  7.100000	 -7.800000	-99.451450
-14.000000	  7.100000	 -7.750000	-99.451450
-14.000000	  7.100000	 -7.700000	-99.451450
-14.000000	  7.100000	 -7.650000	-29.587093
-14.000000	  7.100000	 -7.600000	-29.109059
-14.000000	  7.100000	 -7.550000	-28.826127
-14.000000	  7.100000	 -7.500000	-28.603707
-14.000000	  7.100000	 -7.450000	-28.416679
-14.000000	  7.100000	 -7.400000	-28.247792
-14.000000	  7.100000	 -7.350000	-28.090989
-14.000000	  7.100000	 -7.300000	-27.931819
-14.000000	  7.100000	 -7.250000	-27.787694
-14.000000	  7.100000	 -7.200000	-27.651144
-14.000000	  7.100000	 -7.150000	-27.519930
-14.000000	  7.100000	 -7.100000	-27.395500
-14.000000	  7.100000	 -7.050000	-27.277065
-14.000000	  7.100000	 -7.000000	-27.163054
-14.000000	  7.200000	-10.000000	-99.451450
-14.000000	  7.200000	 -9.950000	-99.451450
-14.000000	  7.200000	 -9.900000	-99.451450
-14.000000	  7.200000	 -9.850000	-99.451450
-14.000000	  7.200000	 -9.800000	-99.451450
-14.000000	  7.200000	 -9.750000	-99.451450
-14.000000	  7.200000	 -9.700000	-99.451450
-14.000000	  7.200000	 -9.650000	-99.451450
-14.000000	  7.200000	 -9.600000	-99.451450
-14.000000	  7.200000	 -9.550000	-99.451450
-14.000000	  7.200000	 -9.500000	-99.451450
-14.000000	  7.200000	 -9.450000	-99.451450
-14.000000	  7.200000	 -9.400000	-99.451450
-14.000000	  7.200000	 -9.350000	-99.451450
-14.000000	  7.200000	 -9.300000	-99.451450
-14.000000	  7.200000	 -9.250000	-99.451450
-14.000000	  7.200000	 -9.200000	-99.451450
-14.000000	  7.200000	 -9.150000	-99.451450
-14.000000	  7.200000	 -9.100000	-99.451450
-14.000000	  7.200000	 -9.050000	-99.451450
-14.000000	  7.200000	 -9.000000	-99.451450
-14.000000	  7.200000	 -8.950000	-99.451450
-14.000000	  7.200000	 -8.900000	-99.451450
-14.000000	  7.200000	 -8.850000	-99.451450
-14.000000	  7.200000	 -8.800000	-99.451450
-14.000000	  7.200000	 -8.750000	-99.451450
-14.000000	  7.200000	 -8.700000	-99.451450
-14.000000	  7.200000	 -8.650000	-99.451450
-14.000000	  7.200000	 -8.600000	-99.451450
-14.000000	  7.200000	 -8.550000	-99.451450
-14.000000	  7.200000	 -8.500000	-99.451450
-14.000000	  7.200000	 -8.450000	-99.451450
-14.000000	  7.200000	 -8.400000	-99.451450
-14.000000	  7.200000	 -8.350000	-99.451450
-14.000000	  7.200000	 -8.300000	-99.451450
-14.000000	  7.200000	 -8.250000	-99.451450
-14.000000	  7.200000	 -8.200000	-99.451450
-14.000000	  7.200000	 -8.150000	-29.996831
-14.000000	  7.200000	 -8.100000	-29.211592
-14.000000	  7.200000	 -8.050000	-28.887241
-14.000000	  7.200000	 -8.000000	-28.650562
-14.000000	  7.200000	 -7.950000	-28.452939
-14.000000	  7.200000	 -7.900000	-28.277281
-14.000000	  7.200000	 -7.850000	-28.115753
-14.000000	  7.200000	 -7.800000	-27.955339
-14.000000	  7.200000	 -7.750000	-27.806712
-14.000000	  7.200000	 -7.700000	-27.667052
-14.000000	  7.200000	 -7.650000	-27.533701
-14.000000	  7.200000	 -7.600000	-27.406179
-14.000000	  7.200000	 -7.550000	-27.287284
-14.000000	  7.200000	 -7.500000	-27.170371
-14.000000	  7.200000	 -7.450000	-27.058568
-14.000000	  7.200000	 -7.400000	-26.950667
-14.000000	  7.200000	 -7.350000	-26.845695
-14.000000	  7.200000	 -7.300000	-26.742567
-14.000000	  7.200000	 -7.250000	-26.640865
-14.000000	  7.200000	 -7.200000	-26.539636
-14.000000	  7.200000	 -7.150000	-26.438917
-14.000000	  7.200000	 -7.100000	-26.338683
-14.000000	  7.200000	 -7.050000	-26.238803
-14.000000	  7.200000	 -7.000000	-26.139147
-14.000000	  7.300000	-10.000000	-99.451450
-14.000000	  7.300000	 -9.950000	-99.451450
-14.000000	  7.300000	 -9.900000	-99.451450
-14.000000	  7.300000	 -9.850000	-99.451450
-14.000000	  7.300000	 -9.800000	-99.451450
-14.000000	  7.300000	 -9.750000	-99.451450
-14.000000	  7.300000	 -9.700000	-99.451450
-14.000000	  7.300000	 -9.650000	-99.451450
-14.000000	  7.300000	 -9.600000	-99.451450
-14.000000	  7.300000	 -9.550000	-99.451450
-14.000000	  7.300000	 -9.500000	-99.451450
-14.000000	  7.300000	 -9.450000	-99.451450
-14.000000	  7.300000	 -9.400000	-99.451450
-14.000000	  7.300000	 -9.350000	-99.451450
-14.000000	  7.300000	 -9.300000	-99.451450
-14.000000	  7.300000	 -9.250000	-99.451450
-14.000000	  7.300000	 -9.200000	-99.451450
-14.000000	  7.300000	 -9.150000	-99.451450
-14.000000	  7.300000	 -9.100000	-99.451450
-14.000000	  7.300000	 -9.050000	-99.451450
-14.000000	  7.300000	 -9.000000	-99.451450
-14.000000	  7.300000	 -8.950000	-99.451450
-14.000000	  7.300000	 -8.900000	-99.451450
-14.000000	  7.300000	 -8.850000	-99.451450
-14.000000	  7.300000	 -8.800000	-99.451450
-14.000000	  7.300000	 -8.750000	-99.451450
-14.000000	  7.300000	 -8.700000	-99.451450
-14.000000	  7.300000	 -8.650000	-30.395458
-14.000000	  7.300000	 -8.600000	-29.281837
-14.000000	  7.300000	 -8.550000	-28.924878
-14.000000	  7.300000	 -8.500000	-28.676220
-14.000000	  7.300000	 -8.450000	-28.472436
-14.000000	  7.300000	 -8.400000	-28.293027
-14.000000	  7.300000	 -8.350000	-28.135970
-14.000000	  7.300000	 -8.300000	-27.974024
-14.000000	  7.300000	 -8.250000	-27.823196
-14.000000	  7.300000	 -8.200000	-27.681128
-14.000000	  7.300000	 -8.150000	-27.545961
-14.000000	  7.300000	 -8.100000	-27.416136
-14.000000	  7.300000	 -8.050000	-27.296022
-14.000000	  7.300000	 -8.000000	-27.177686
-14.000000	  7.300000	 -7.950000	-27.064501
-14.000000	  7.300000	 -7.900000	-26.955482
-14.000000	  7.300000	 -7.850000	-26.849722
-14.000000	  7.300000	 -7.800000	-26.746152
-14.000000	  7.300000	 -7.750000	-26.643926
-14.000000	  7.300000	 -7.700000	-26.542335
-14.000000	  7.300000	 -7.650000	-26.441334
-14.000000	  7.300000	 -7.600000	-26.340801
-14.000000	  7.300000	 -7.550000	-26.240646
-14.000000	  7.300000	 -7.500000	-26.140739
-14.000000	  7.300000	 -7.450000	-26.041048
-14.000000	  7.300000	 -7.400000	-25.941489
-14.000000	  7.300000	 -7.350000	-25.842050
-14.000000	  7.300000	 -7.300000	-25.742671
-14.000000	  7.300000	 -7.250000	-25.643351
-14.000000	  7.300000	 -7.200000	-25.544067
-14.000000	  7.300000	 -7.150000	-25.444804
-14.000000	  7.300000	 -7.100000	-25.345559
-14.000000	  7.300000	 -7.050000	-25.246324
-14.000000	  7.300000	 -7.000000	-25.147095
-14.000000	  7.400000	-10.000000	-99.451450
-14.000000	  7.400000	 -9.950000	-99.451450
-14.000000	  7.400000	 -9.900000	-99.451450
-14.000000	  7.400000	 -9.850000	-99.451450
-14.000000	  7.400000	 -9.800000	-99.451450
-14.000000	  7.400000	 -9.750000	-99.451450
-14.000000	  7.400000	 -9.700000	-99.451450
-14.000000	  7.400000	 -9.650000	-99.451450
-14.000000	  7.400000	 -9.600000	-99.451450
-14.000000	  7.400000	 -9.550000	-99.451450
-14.000000	  7.400000	 -9.500000	-99.451450
-14.000000	  7.400000	 -9.450000	-99.451450
-14.000000	  7.400000	 -9.400000	-99.451450
-14.000000	  7.400000	 -9.350000	-99.451450
-14.000000	  7.400000	 -9.300000	-99.451450
-14.000000	  7.400000	 -9.250000	-99.451450
-14.000000	  7.400000	 -9.200000	-99.451450
-14.000000	  7.400000	 -9.150000	-30.688050
-14.000000	  7.400000	 -9.100000	-29.293861
-14.000000	  7.400000	 -9.050000	-28.927432
-14.000000	  7.400000	 -9.000000	-28.686512
-14.000000	  7.400000	 -8.950000	-28.479503
-14.000000	  7.400000	 -8.900000	-28.298233
-14.000000	  7.400000	 -8.850000	-28.133012
-14.000000	  7.400000	 -8.800000	-27.971334
-14.000000	  7.400000	 -8.750000	-27.825160
-14.000000	  7.400000	 -8.700000	-27.682971
-14.000000	  7.400000	 -8.650000	-27.547420
-14.000000	  7.400000	 -8.600000	-27.417141
-14.000000	  7.400000	 -8.550000	-27.293567
-14.000000	  7.400000	 -8.500000	-27.175348
-14.000000	  7.400000	 -8.450000	-27.062469
-14.000000	  7.400000	 -8.400000	-26.953350
-14.000000	  7.400000	 -8.350000	-26.847401
-14.000000	  7.400000	 -8.300000	-26.743569
-14.000000	  7.400000	 -8.250000	-26.641060
-14.000000	  7.400000	 -8.200000	-26.539324
-14.000000	  7.400000	 -8.150000	-26.438140
-14.000000	  7.400000	 -8.100000	-26.337342
-14.000000	  7.400000	 -8.050000	-26.236932
-14.000000	  7.400000	 -8.000000	-26.136778
-14.000000	  7.400000	 -7.950000	-26.036813
-14.000000	  7.400000	 -7.900000	-25.936981
-14.000000	  7.400000	 -7.850000	-25.837235
-14.000000	  7.400000	 -7.800000	-25.737547
-14.000000	  7.400000	 -7.750000	-25.637895
-14.000000	  7.400000	 -7.700000	-25.538269
-14.000000	  7.400000	 -7.650000	-25.438651
-14.000000	  7.400000	 -7.600000	-25.339035
-14.000000	  7.400000	 -7.550000	-25.239417
-14.000000	  7.400000	 -7.500000	-25.139794
-14.000000	  7.400000	 -7.450000	-25.040170
-14.000000	  7.400000	 -7.400000	-24.940545
-14.000000	  7.400000	 -7.350000	-24.840921
-14.000000	  7.400000	 -7.300000	-24.741299
-14.000000	  7.400000	 -7.250000	-24.641681
-14.000000	  7.400000	 -7.200000	-24.542068
-14.000000	  7.400000	 -7.150000	-24.442461
-14.000000	  7.400000	 -7.100000	-24.342859
-14.000000	  7.400000	 -7.050000	-24.243263
-14.000000	  7.400000	 -7.000000	-24.143673
-14.000000	  7.500000	-10.000000	-99.451450
-14.000000	  7.500000	 -9.950000	-99.451450
-14.000000	  7.500000	 -9.900000	-99.451450
-14.000000	  7.500000	 -9.850000	-99.451450
-14.000000	  7.500000	 -9.800000	-99.451450
-14.000000	  7.500000	 -9.750000	-99.451450
-14.000000	  7.500000	 -9.700000	-99.451450
-14.000000	  7.500000	 -9.650000	-30.368880
-14.000000	  7.500000	 -9.600000	-29.256343
-14.000000	  7.500000	 -9.550000	-28.900197
-14.000000	  7.500000	 -9.500000	-28.652128
-14.000000	  7.500000	 -9.450000	-28.448761
-14.000000	  7.500000	 -9.400000	-28.267985
-14.000000	  7.500000	 -9.350000	-28.111653
-14.000000	  7.500000	 -9.300000	-27.950155
-14.000000	  7.500000	 -9.250000	-27.799685
-14.000000	  7.500000	 -9.200000	-27.657902
-14.000000	  7.500000	 -9.150000	-27.522940
-14.000000	  7.500000	 -9.100000	-27.393369
-14.000000	  7.500000	 -9.050000	-27.270835
-14.000000	  7.500000	 -9.000000	-27.153139
-14.000000	  7.500000	 -8.950000	-27.040430
-14.000000	  7.500000	 -8.900000	-26.931700
-14.000000	  7.500000	 -8.850000	-26.826054
-14.000000	  7.500000	 -8.800000	-26.722302
-14.000000	  7.500000	 -8.750000	-26.619779
-14.000000	  7.500000	 -8.700000	-26.518006
-14.000000	  7.500000	 -8.650000	-26.416754
-14.000000	  7.500000	 -8.600000	-26.315892
-14.000000	  7.500000	 -8.550000	-26.215363
-14.000000	  7.500000	 -8.500000	-26.115084
-14.000000	  7.500000	 -8.450000	-26.014978
-14.000000	  7.500000	 -8.400000	-25.915003
-14.000000	  7.500000	 -8.350000	-25.815118
-14.000000	  7.500000	 -8.300000	-25.715299
-14.000000	  7.500000	 -8.250000	-25.615527
-14.000000	  7.500000	 -8.200000	-25.515789
-14.000000	  7.500000	 -8.150000	-25.416075
-14.000000	  7.500000	 -8.100000	-25.316375
-14.000000	  7.500000	 -8.050000	-25.216689
-14.000000	  7.500000	 -8.000000	-25.117010
-14.000000	  7.500000	 -7.950000	-25.017335
-14.000000	  7.500000	 -7.900000	-24.917661
-14.000000	  7.500000	 -7.850000	-24.817986
-14.000000	  7.500000	 -7.800000	-24.718310
-14.000000	  7.500000	 -7.750000	-24.618631
-14.000000	  7.500000	 -7.700000	-24.518950
-14.000000	  7.500000	 -7.650000	-24.419268
-14.000000	  7.500000	 -7.600000	-24.319585
-14.000000	  7.500000	 -7.550000	-24.219901
-14.000000	  7.500000	 -7.500000	-24.120217
-14.000000	  7.500000	 -7.450000	-24.020534
-14.000000	  7.500000	 -7.400000	-23.920850
-14.000000	  7.500000	 -7.350000	-23.821168
-14.000000	  7.500000	 -7.300000	-23.721485
-14.000000	  7.500000	 -7.250000	-23.621802
-14.000000	  7.500000	 -7.200000	-23.522119
-14.000000	  7.500000	 -7.150000	-23.422435
-14.000000	  7.500000	 -7.100000	-23.322748
-14.000000	  7.500000	 -7.050000	-23.223058
-14.000000	  7.500000	 -7.000000	-23.123363
-14.000000	  7.600000	-10.000000	-28.576791
-14.000000	  7.600000	 -9.950000	-28.379287
-14.000000	  7.600000	 -9.900000	-28.203721
-14.000000	  7.600000	 -9.850000	-28.041205
-14.000000	  7.600000	 -9.800000	-27.881135
-14.000000	  7.600000	 -9.750000	-27.733341
-14.000000	  7.600000	 -9.700000	-27.593790
-14.000000	  7.600000	 -9.650000	-27.460465
-14.000000	  7.600000	 -9.600000	-27.333108
