log10_A	width	log10_fpeak	f	spectrum
-3.1	0.5	-11.0	-10.0	-13.82786607097454
-3.1	0.5	-11.0	-9.0	-31.958961499306938
-3.1	0.5	-11.0	-8.0	-59.03978561274571
-3.1	0.5	-11.0	-7.0	-98.92873645293015
-3.1	0.5	-9.5	-10.0	-7.364145224558495
-3.1	0.5	-9.5	-9.0	-8.3350376539106
-3.1	0.5	-9.5	-8.0	-21.861121381350948
-3.1	0.5	-9.5	-7.0	-44.596664747253875
-3.1	0.5	-8.0	-10.0	-10.393826204637168
-3.1	0.5	-8.0	-9.0	-8.192272102384065
-3.1	0.5	-8.0	-8.0	-6.724967044340742
-3.1	0.5	-8.0	-7.0	-13.827866070974538
-3.1	0.5	-6.5	-10.0	-18.335654238374666
-3.1	0.5	-6.5	-9.0	-12.23208574232146
-3.1	0.5	-6.5	-8.0	-9.30252765803091
-3.1	0.5	-6.5	-7.0	-7.364145224558495
-3.1	0.5	-5.0	-10.0	-62.0081455928444
-3.1	0.5	-5.0	-9.0	-28.287987273559832
-3.1	0.5	-5.0	-8.0	-12.98848528498884
-3.1	0.5	-5.0	-7.0	-10.393826204637168
-3.1	1.0	-11.0	-10.0	-9.172947517144841
-3.1	1.0	-11.0	-9.0	-15.580181928201666
-3.1	1.0	-11.0	-8.0	-25.58403871266277
-3.1	1.0	-11.0	-7.0	-37.84743690512375
-3.1	1.0	-9.5	-10.0	-7.57465033448654
-3.1	1.0	-9.5	-9.0	-7.675307247361288
-3.1	1.0	-9.5	-8.0	-11.838938993620749
-3.1	1.0	-9.5	-7.0	-20.263145277618325
-3.1	1.0	-8.0	-10.0	-10.36370132925867
-3.1	1.0	-8.0	-9.0	-8.256072986736976
-3.1	1.0	-8.0	-8.0	-7.187801079292361
-3.1	1.0	-8.0	-7.0	-9.172947517144841
-3.1	1.0	-6.5	-10.0	-14.17163056528661
-3.1	1.0	-6.5	-9.0	-11.632147439713577
-3.1	1.0	-6.5	-8.0	-9.217107560585193
-3.1	1.0	-6.5	-7.0	-7.57465033448654
-3.1	1.0	-5.0	-10.0	-25.09065319783045
-3.1	1.0	-5.0	-9.0	-16.66059099959898
-3.1	1.0	-5.0	-8.0	-12.782725308422107
-3.1	1.0	-5.0	-7.0	-10.36370132925867
-3.1	1.5	-11.0	-10.0	-8.407734805086827
-3.1	1.5	-11.0	-9.0	-11.326176247575797
-3.1	1.5	-11.0	-8.0	-16.25163049110741
-3.1	1.5	-11.0	-7.0	-23.14271014418584
-3.1	1.5	-9.5	-10.0	-7.7063650643115595
-3.1	1.5	-9.5	-9.0	-7.739515819275806
-3.1	1.5	-9.5	-8.0	-9.615948908866965
-3.1	1.5	-9.5	-7.0	-13.538917714765097
-3.1	1.5	-8.0	-10.0	-9.885124932381428
-3.1	1.5	-8.0	-9.0	-8.190171199935591
-3.1	1.5	-8.0	-8.0	-7.509270557431994
-3.1	1.5	-8.0	-7.0	-8.407734805086827
-3.1	1.5	-6.5	-10.0	-13.417736243234108
-3.1	1.5	-6.5	-9.0	-10.987365364035014
-3.1	1.5	-6.5	-8.0	-8.94222391548057
-3.1	1.5	-6.5	-7.0	-7.7063650643115595
-3.1	1.5	-5.0	-10.0	-18.493779614417367
-3.1	1.5	-5.0	-9.0	-14.708735904944218
-3.1	1.5	-5.0	-8.0	-12.196238191668405
-3.1	1.5	-5.0	-7.0	-9.88512493238143
-3.1	2.0	-11.0	-10.0	-8.256156651150754
-3.1	2.0	-11.0	-9.0	-9.909892531333266
-3.1	2.0	-11.0	-8.0	-12.70375016670903
-3.1	2.0	-11.0	-7.0	-16.63594242800837
-3.1	2.0	-9.5	-10.0	-7.8424456484896155
-3.1	2.0	-9.5	-9.0	-7.899526796544757
-3.1	2.0	-9.5	-8.0	-8.938532691649531
-3.1	2.0	-9.5	-7.0	-11.16464555302967
-3.1	2.0	-8.0	-10.0	-9.430070333755975
-3.1	2.0	-8.0	-9.0	-8.155263261819448
-3.1	2.0	-8.0	-8.0	-7.751349549129483
-3.1	2.0	-8.0	-7.0	-8.256156651150754
-3.1	2.0	-6.5	-10.0	-12.440706477980958
-3.1	2.0	-6.5	-9.0	-10.306031898001311
-3.1	2.0	-6.5	-8.0	-8.706203883709774
-3.1	2.0	-6.5	-7.0	-7.8424456484896155
-3.1	2.0	-5.0	-10.0	-16.22820099445517
-3.1	2.0	-5.0	-9.0	-13.637084673388486
-3.1	2.0	-5.0	-8.0	-11.317634953561264
-3.1	2.0	-5.0	-7.0	-9.430070333755975
-3.1	2.5	-11.0	-10.0	-8.250985037062332
-3.1	2.5	-11.0	-9.0	-9.319534409476509
-3.1	2.5	-11.0	-8.0	-11.118031955988812
-3.1	2.5	-11.0	-7.0	-13.645134117258275
-3.1	2.5	-9.5	-10.0	-7.981219667022728
-3.1	2.5	-9.5	-9.0	-8.017322561740496
-3.1	2.5	-9.5	-8.0	-8.69189112391211
-3.1	2.5	-9.5	-7.0	-10.12795899252105
-3.1	2.5	-8.0	-10.0	-9.110634657690891
-3.1	2.5	-8.0	-9.0	-8.185714048808592
-3.1	2.5	-8.0	-8.0	-7.9179167927924485
-3.1	2.5	-8.0	-7.0	-8.250985037062332
