f	log10_fmin	log10_fmax	log10_A	spectrum
-10.0	-11.0	-11.0	-3.0	-300
-10.0	-11.0	-11.0	-2.428571428571429	-300
-10.0	-11.0	-11.0	-1.8571428571428572	-300
-10.0	-11.0	-11.0	-1.2857142857142858	-300
-10.0	-11.0	-11.0	-0.7142857142857144	-300
-10.0	-11.0	-11.0	-0.14285714285714324	-300
-10.0	-11.0	-11.0	0.4285714285714284	-300
-10.0	-11.0	-11.0	1.0	-300
-10.0	-11.0	-10.0	-3.0	-6.660291121067031
-10.0	-11.0	-10.0	-2.428571428571429	-5.517433978209889
-10.0	-11.0	-10.0	-1.8571428571428572	-4.374576835352745
-10.0	-11.0	-10.0	-1.2857142857142858	-3.2317196924956026
-10.0	-11.0	-10.0	-0.7142857142857144	-2.0888625496384594
-10.0	-11.0	-10.0	-0.14285714285714324	-0.9460054067813173
-10.0	-11.0	-10.0	0.4285714285714284	0.19685173607582596
-10.0	-11.0	-10.0	1.0	1.3397088789329692
-10.0	-11.0	-9.0	-3.0	-6.088304079410292
-10.0	-11.0	-9.0	-2.428571428571429	-4.945446936553149
-10.0	-11.0	-9.0	-1.8571428571428572	-3.802589793696006
-10.0	-11.0	-9.0	-1.2857142857142858	-2.6597326508388632
-10.0	-11.0	-9.0	-0.7142857142857144	-1.5168755079817204
-10.0	-11.0	-9.0	-0.14285714285714324	-0.37401836512457814
-10.0	-11.0	-9.0	0.4285714285714284	0.7688387777325651
-10.0	-11.0	-9.0	1.0	1.9116959205897084
-10.0	-11.0	-8.0	-3.0	-6.085020061437875
-10.0	-11.0	-8.0	-2.428571428571429	-4.942162918580733
-10.0	-11.0	-8.0	-1.8571428571428572	-3.79930577572359
-10.0	-11.0	-8.0	-1.2857142857142858	-2.656448632866447
-10.0	-11.0	-8.0	-0.7142857142857144	-1.5135914900093044
-10.0	-11.0	-8.0	-0.14285714285714324	-0.370734347152162
-10.0	-11.0	-8.0	0.4285714285714284	0.7721227957049812
-10.0	-11.0	-8.0	1.0	1.9149799385621245
