width	log10_fpeak	f	spectrum
0.1	-11.0	-11.0	-0.13795336856965892
0.1	-11.0	-10.9	-0.0769944965872408
0.1	-11.0	-10.8	-1.6260225503054202
0.1	-11.0	-10.7	-3.136852100067134
0.1	-11.0	-10.6	-6.921413096798043
0.1	-11.0	-10.5	-14.50213427718089
0.1	-11.0	-10.4	-25.0
0.1	-11.0	-10.3	-25.0
0.1	-11.0	-10.2	-25.0
0.1	-11.0	-10.1	-25.0
0.1	-11.0	-10.0	-25.0
0.1	-11.0	-9.9	-25.0
0.1	-11.0	-9.8	-25.0
0.1	-11.0	-9.7	-25.0
0.1	-11.0	-9.6	-25.0
0.1	-11.0	-9.5	-25.0
0.1	-11.0	-9.4	-25.0
0.1	-11.0	-9.3	-25.0
0.1	-11.0	-9.2	-25.0
0.1	-11.0	-9.1	-25.0
0.1	-11.0	-9.0	-25.0
0.1	-11.0	-8.9	-25.0
0.1	-11.0	-8.8	-25.0
0.1	-11.0	-8.7	-25.0
0.1	-11.0	-8.6	-25.0
0.1	-11.0	-8.5	-25.0
0.1	-11.0	-8.4	-25.0
0.1	-11.0	-8.3	-25.0
0.1	-11.0	-8.2	-25.0
0.1	-11.0	-8.1	-25.0
0.1	-11.0	-8.0	-25.0
0.1	-11.0	-7.9	-25.0
0.1	-11.0	-7.8	-25.0
0.1	-11.0	-7.7	-25.0
0.1	-11.0	-7.6	-25.0
0.1	-11.0	-7.5	-25.0
0.1	-11.0	-7.4	-25.0
0.1	-11.0	-7.3	-25.0
0.1	-11.0	-7.2	-25.0
0.1	-11.0	-7.1	-25.0
0.1	-11.0	-7.0	-25.0
0.1	-11.0	-6.9	-25.0
0.1	-11.0	-6.8	-25.0
0.1	-11.0	-6.7	-25.0
0.1	-11.0	-6.6	-25.0
0.1	-11.0	-6.5	-25.0
0.1	-11.0	-6.4	-25.0
0.1	-11.0	-6.3	-25.0
0.1	-11.0	-6.2	-25.0
0.1	-11.0	-6.1	-25.0
0.1	-11.0	-6.0	-25.0
0.1	-11.0	-5.9	-25.0
0.1	-11.0	-5.8	-25.0
0.1	-11.0	-5.7	-25.0
0.1	-11.0	-5.6	-25.0
0.1	-11.0	-5.5	-25.0
0.1	-11.0	-5.4	-25.0
0.1	-11.0	-5.3	-25.0
0.1	-11.0	-5.2	-25.0
0.1	-11.0	-5.1	-25.0
0.1	-11.0	-5.0	-25.0
0.1	-10.9	-11.0	-1.5707099599350773
0.1	-10.9	-10.9	-0.13795336856965892
0.1	-10.9	-10.8	-0.0769944965872408
0.1	-10.9	-10.7	-1.6260225503054835
0.1	-10.9	-10.6	-3.136852100067134
0.1	-10.9	-10.5	-6.921413096798043
0.1	-10.9	-10.4	-14.50213427718089
0.1	-10.9	-10.3	-25.0
0.1	-10.9	-10.2	-25.0
0.1	-10.9	-10.1	-25.0
