# Frequencies [Hz],h_c [strain], S_eff [strain^2/Hz], Omega_GW [H0=67.4 km/s/Mpc]
2.000000000000000331e-10,2.141465183890984695e-13,2.292936566908624178e-16,2.529716252976262299e-09
2.046743597265042972e-10,2.068949696494875582e-13,2.091396720305424581e-16,2.472956788750634757e-09
2.094579676472715070e-10,1.998909133216769798e-13,1.907608370184368673e-16,2.417517680370863271e-09
2.143533770891007091e-10,1.931259258301976976e-13,1.740006326668109511e-16,2.363369363393838840e-09
2.193632010546280791e-10,1.865918706073867681e-13,1.587163480901858281e-16,2.310482964309856271e-09
2.244901136170612005e-10,1.802808883201917569e-13,1.447778620173827109e-16,2.258830285273404361e-09
2.297368513475109809e-10,1.741853874298493144e-13,1.320665318433921703e-16,2.208383789202017113e-09
2.351062147756735509e-10,1.682980350733879511e-13,1.204741807297134458e-16,2.159116585242903523e-09
2.406010698846649006e-10,1.626117482556856361e-13,1.099021740985859358e-16,2.111002414592936929e-09
2.462243496407784605e-10,1.571196853417485956e-13,1.002605776313587348e-16,2.064015636670817329e-09
2.519790555590052160e-10,1.518152378388752130e-13,9.146738957705630492e-17,2.018131215632427631e-09
2.578682593051431736e-10,1.466920224588347038e-13,8.344784081238832381e-17,1.973324707222860681e-09
2.638951043353417658e-10,1.417438734506282603e-13,7.613375667347314899e-17,1.929572245961682619e-09
2.700628075739744950e-10,1.369648351944983875e-13,6.946297510706881732e-17,1.886850532652665278e-09
2.763746611307267647e-10,1.323491550483687031e-13,6.337881617060339081e-17,1.845136822214362706e-09
2.828340340578042436e-10,1.278912764381547995e-13,5.782959834896578886e-17,1.804408911827102056e-09
2.894443741482269295e-10,1.235858321835568504e-13,5.276819755591659625e-17,1.764645129389316666e-09
2.962092097761354581e-10,1.194276380513942104e-13,4.815164505288091790e-17,1.725824322280174803e-09
3.031321517801203158e-10,1.154116865287154772e-13,4.394076085028474369e-17,1.687925846423809838e-09
3.102168953905681252e-10,1.115331408082317778e-13,4.009981945982389219e-17,1.650929555651642121e-09
3.174672222020424342e-10,1.077873289788228542e-13,3.659624514241974972e-17,1.614815791358081544e-09
3.248870021917731041e-10,1.041697384141588250e-13,3.340033404866406938e-17,1.579565372446898075e-09
3.324801957853227545e-10,1.006760103526978857e-13,3.048500087831086396e-17,1.545159585564914086e-09
3.402508559705171804e-10,9.730193466258203774e-14,2.782554789487953738e-17,1.511580175620950134e-09
3.482031304608031205e-10,9.404344478508830184e-14,2.539945432237155460e-17,1.478809336586127943e-09
3.563412639091465529e-10,9.089661285063476044e-14,2.318618432532900992e-17,1.446829702575124259e-09
3.646696001736877865e-10,8.785764496142766017e-14,2.116701193214850683e-17,1.415624339205380749e-09
3.731925846363492421e-10,8.492287663512878288e-14,1.932486140637762476e-17,1.385176735234066058e-09
3.819147665756201516e-10,8.208876840405131313e-14,1.764416170266021852e-17,1.355470794471007864e-09
3.908408015948103352e-10,7.935190156461212498e-14,1.611071376434179857e-17,1.326490827967581473e-09
3.999754541070574606e-10,7.670897407194408046e-14,1.471156952945218953e-17,1.298221546481511751e-09
4.093235998783988653e-10,7.415679657474974784e-14,1.343492161180668933e-17,1.270648053218166388e-09
4.188902286302937807e-10,7.169228858561539898e-14,1.227000271514916830e-17,1.243755836848641353e-09
4.286804467029718168e-10,6.931247478223593107e-14,1.120699392143464191e-17,1.217530764807518617e-09
4.386994797810111753e-10,6.701448143506459352e-14,1.023694107012023870e-17,1.191959076870545294e-09
4.489526756826448215e-10,6.479553295714955706e-14,9.351678514483022257e-18,1.167027379016712170e-09
4.594455072142312208e-10,6.265294857199405818e-14,8.543759603975390675e-18,1.142722637576838226e-09
4.701835750914569410e-10,6.058413909544663979e-14,7.806393299090630150e-18,1.119032173672939132e-09
4.811726109288134496e-10,5.858660382778032880e-14,7.133386377598880322e-18,1.095943657953602531e-09
4.924184802989262121e-10,5.665792755221695561e-14,6.519090738762562901e-18,1.073445105630145633e-09
5.039271858634027566e-10,5.479577763631056102e-14,5.958355355691978221e-18,1.051524871820487098e-09
